epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.71657,2.97358,5.01247,2.71826,0.00097,0.10556,0.00223,0.00086,2.74846,5.39028,2.54933,5e-05,5e-05,5e-05
2,5.08788,2.24345,3.73187,2.05696,0.1695,0.39215,0.1528,0.06953,2.10714,5.39891,1.79681,0.000110272,0.000110272,0.000110272
3,7.63355,1.80209,2.89218,1.70459,0.34499,0.60235,0.2364,0.10877,1.67722,5.6535,1.5243,0.00016807,0.00016807,0.00016807
4,10.1301,1.61228,2.30011,1.46445,0.26458,0.57568,0.25987,0.11827,1.72227,4.30071,1.57736,0.000223392,0.000223392,0.000223392
5,12.7623,1.54519,2.2445,1.43895,0.30495,0.49017,0.34593,0.18024,1.5672,3.44449,1.45017,0.00027624,0.00027624,0.00027624
6,18.0146,1.48207,1.9072,1.31042,0.34136,0.29701,0.35966,0.19442,1.53226,2.80916,1.461,0.000326613,0.000326613,0.000326613
7,21.5229,1.3285,1.96235,1.36684,0.43038,0.67591,0.53668,0.25844,1.7552,2.69379,1.5802,0.00037451,0.00037451,0.00037451
8,27.1691,1.40951,1.77482,1.3117,0.36249,0.73515,0.50316,0.25916,1.68848,2.21476,1.57026,0.000419932,0.000419932,0.000419932
9,34.1649,1.32981,1.83253,1.33254,0.61732,0.49254,0.53096,0.32194,1.45145,2.16462,1.47945,0.00046288,0.00046288,0.00046288
10,39.6956,1.32841,1.67171,1.24312,0.35772,0.53408,0.50784,0.31991,1.22733,2.15229,1.54612,0.000503353,0.000503353,0.000503353
11,42.4097,1.27568,1.61421,1.26802,0.37737,0.68683,0.53229,0.33668,1.22105,1.77776,1.41299,0.00054135,0.00054135,0.00054135
12,46.1174,1.25238,1.56258,1.22192,0.34657,0.70069,0.46218,0.28652,1.24145,1.88211,1.29977,0.000576873,0.000576873,0.000576873
